상호명,지번주소
라이브보울,서울 강남구 역삼동 642-16
마치래빗 강남점,서울 강남구 역삼동 826-37
리밍교대점,서울 서초구 서초동 1576-1
웍스 50 덮밥전문점,서울 강남구 청담동 119-11
양재오제섞어,서울 강남구 논현동 108
봉추찜닭,서울 서초구 서초동 1574-6
한식의품격강남,서울 강남구 논현동 138-19
초록밭샐러드&그릭요거트,서울 강남구 삼성동 140-3
한식밥상 강남점,서울 강남구 논현동 224-10
까르보마마,서울 서초구 양재동 313-5
앤샐러드,서울 강남구 역삼동 626-30
상아김밥-본점,서울 서초구 잠원동 35-1
미스꼬레아김치볶음밥,서울 강남구 대치동 989
흥미면옥,서울 서초구 방배동 773-7
37.5-서래마을점,서울 서초구 반포동 106-8
강릉엄지네꼬막집-양재점,서울 서초구 양재동 276-10
퍼남사이곤,서울 강남구 논현동 114-14
홍짜장-방배점,서울 서초구 방배동 911-1
겐조라멘,서울 서초구 서초동 1303-35
ZAL돼지,서울 서초구 양재동 263-16
와우곱창,서울 강남구 논현동 145-16
서병장 부대찌개 교대점,서울 서초구 서초동 1660-27
정 한뿌리죽 키친 서초점,서울 서초구 서초동 1680-1
한뿌리죽 키친 삼성점,서울 강남구 삼성동 144-14
한뿌리죽 서초점,서울 서초구 서초동 1680-1
부거부거,서울 강남구 역삼동 642-16
한정남의 샤오차이,서울 강남구 역삼동 656-33
우시라멘,서울 강남구 개포동 1237-8
생선물은고양이,서울 강남구 논현동 191-3
카페시벳 신림점,서울 관악구 신림동 1636-28
크로플덕오리아가씨 서울대입구역점,서울 관악구 봉천동 10-41
정우보쌈,서울 강남구 논현동 225-6
막불감동,서울 관악구 신림동 1433-60
타코랑,서울 관악구 봉천동 924-36
재치백작,서울 관악구 봉천동 969-7
153테이블,서울 강남구 논현동 226-7
태리로제떡볶이 봉천점,서울 관악구 봉천동 1605-7
어서오소LA갈비찜,서울 관악구 신림동 1419-2
설미당,서울 관악구 봉천동 20-1
쭝일아찌 빨강떡볶이,서울 관악구 봉천동 951-5
사천마라탕,서울 관악구 봉천동 865-2
카페5,서울 관악구 봉천동 1708
샐러드식당 관악봉천점,서울 관악구 봉천동 15-50
바이통타이 봉천직영점(젠),서울 관악구 봉천동 15-5
백순대본가새맛 군자점,서울 광진구 군자동 360-20
금강에프앤비주식회사,서울 광진구 구의동 671
금강에프앤비주식회사,서울 광진구 구의동 671
달팽이부엌,서울 광진구 자양동 602-6
이사장푸드(뚝배기집),서울 광진구 중곡동 129-42
건대장터국밥,서울 광진구 화양동 12-42
130마라탕,서울 광진구 자양동 608-21
한식밥상 건대점,서울 광진구 화양동 46-9
기절초풍물닭갈비,서울 광진구 자양동 617-25
OPTION 떡볶이,서울 광진구 화양동 496-10
청년고기장수 구의점,서울 광진구 구의동 250-44
서소문순두부보쌈,서울 광진구 화양동 42-29
한독대 김치찜,서울 광진구 중곡동 39-65
(주)비케이에프,서울 광진구 중곡동 39-51
넌부대난김밥,서울 광진구 구의동 200-1
할머니가래떡볶이 광진자양점,서울 광진구 자양동 652-33
맛찌네(맛있는찌개),서울 광진구 화양동 49-6
밥은,서울 서대문구 홍은동 401-16
천농탕,서울 서대문구 홍제동 96-5
크로플덕 오리아가씨 신촌점,서울 서대문구 대현동 110-69
테이스트오브비엣,서울 마포구 서교동 457-25
히어로 카츠&소바,서울 관악구 봉천동 970-32
폼나는BAB,서울 서초구 서초동 1476-11
규니왕타코 이대점,서울 서대문구 대현동 101-22
팔도부침나라,서울 광진구 중곡동 221-9
무교동 가마솥 왕족발,서울 광진구 자양동 44-2
흥부왕족발,서울 광진구 중곡동 241-1
매운콩불,서울 서초구 방배동 821-12
진전복삼계탕 논현직영점,서울 강남구 논현동 83-10
동해원,서울 서대문구 충정로3가 30-10
신미불닭발,서울 서대문구 창천동 5-34
우동야마이루식 관악점,서울 관악구 봉천동 1717-3
수려한상 도곡점,서울 강남구 도곡동 425-5
겐코쇼쿠도 문정역점,서울 송파구 문정동 651
천수냉면,서울 동작구 노량진동 210-8
산야초 닭한마리,서울 송파구 방이동 169-10
도로시파스타,서울 송파구 방이동 159-22
고기혁명 마포점,서울 마포구 망원동 438-22
갈매기의 꿈,서울 성동구 도선동 185-77
배가네 목포집,서울 강남구 신사동 514
독도쭈꾸미,서울 송파구 풍납동 478
뚝섬해물탕,서울 성동구 성수동2가 566-20
밥향기,서울 송파구 가락동 77-4
신참치,서울 송파구 방이동 51-2
차차네김볶,서울 성동구 행당동 318-28
파스타어때 송파점,서울 송파구 방이동 62-8
함흥순대국,서울 성동구 금호동1가 1764-1
호야네족발보쌈,서울 성동구 하왕십리동 966-37
갈비찜과물회,서울 송파구 잠실동 218-4
골목식당포차,서울 송파구 송파동 146-1
담아내다,서울 송파구 송파동 143-2
유명집 안동찜닭.닭도리탕,서울 송파구 가락동 130
샤크로플,서울 송파구 가락동 141-4
송주불냉면,서울 송파구 가락동 12-5
제비파스타&리조또 송파점,서울 송파구 송파동 143-2
공드리 미역진국 밥한상&순두부,서울 송파구 잠실동 176-2
쉐프의 육미,서울 동작구 상도동 323-25
맛없으면 환불해주는 김치찜 동작점,서울 동작구 상도동 314-16
청담한우육회&육회비빔밥,서울 동작구 사당동 139-43
마라농장,서울 동작구 노량진동 233-6
애플하우스,서울 동작구 사당동 138-4
신나족발,서울 동작구 대방동 23
곱창의전설 노량진점,서울 동작구 노량진동 119-161
본설렁탕 문정역점,서울 송파구 문정동 643-1
최가부엌,서울 송파구 오금동 45-4
15층 카페스윗 신한은행 본점,서울 중구 태평로2가 120
